Name,group,L-Proline,L-Leucine,Uric acid,cis-Aconitic acid,"D-Glucurono-6,3-lactone",Isocitric acid,Gluconic acid,Glycerylphosphorylethanolamine,Pantothenic acid,Cytidine,"7,8-Dihydroneopterin",5-Aminoimidazole ribonucleotide,Phytosphingosine,Biocytin,IDP,"PC(14:0/20:3(5Z,8Z,11Z))"
AV_231,1,0.953512291,0.825610039,19.33330521,17.26686312,1.283811781,509.8375024,2.394398972,0.114320414,0.562210106,0.319278541,1.022122935,0.179389858,0.592642265,0.252868193,7.292415263,0.122529233
AV_237,1,1.179510292,1.227469199,16.81323074,36.62167469,1.555582904,472.5983874,2.655144894,0.339418382,0.719886338,0.322270661,1.020072981,0.390267318,0.635973125,0.097927064,5.480603613,0.110065355
AV_238,1,1.285010895,1.156458233,15.49667611,21.60288785,1.917416906,409.6997771,1.569488657,0.295165146,0.48631838,0.254683195,1.025134954,0.26593469,0.654889915,0.235872517,6.132058986,0.182504227
AV_241,1,0.887263674,0.745029975,11.62509767,19.50948809,1.776424126,512.0971816,1.545523986,0.169048723,0.338210646,0.178240092,1.073213476,0.26244238,0.796497668,0.087334849,3.712961056,0.081227241
AV_257,1,1.289654587,1.066182025,9.72786602,28.92891987,2.291067879,367.2122883,2.325475821,0.31329082,1.48501998,0.242846796,1.075942896,0.437969819,0.644619553,0.336137956,4.430472067,0.356733305
AV_267,1,1.361023117,0.962836587,19.98730979,27.92531003,1.409679793,492.4586617,3.956465913,0.210881217,0.727026306,0.244273248,1.013405858,0.360459789,0.68944334,0.095991771,5.826790025,0.075909289
AV_270,1,0.974768481,0.988736512,20.12992843,10.62025938,1.394228502,442.8473116,1.736503943,0.092754115,0.378924484,0.240228396,1.085921315,0.179930134,0.77800776,0.273750999,9.397397966,0.210811636
AV_277,1,0.812381041,1.062757679,18.72039181,12.53735717,1.23968054,476.4787774,1.206202805,0.144897312,0.387737992,0.234551876,1.039507025,0.156817726,1.103019996,0.200830152,6.848532611,0.956043061
AV_282,1,1.067126202,0.896121719,11.64772247,29.67158722,2.315840756,393.7736363,2.029342816,0.280168154,0.657586765,0.232045032,1.018951986,0.512422226,0.760532527,0.290596775,5.07853815,0.237409565
AV_283,1,0.968535389,0.866142227,21.83687589,23.25905918,1.501772605,463.0551133,2.220166644,0.164418958,0.450298558,0.27228128,1.039430945,0.128037431,0.590103798,0.089961913,5.030817945,0.367161005
